id,minimo_sueldo,total_gasto_inicial
185,882510,566294
186,352305,227943
187,365205,240810
188,"359467,5",236242
189,"501192,5",325052
190,347070,224561
191,"221147,5",142933
192,"605122,5",377688
193,"505927,5",316022
194,"473512,5",311375
195,517370,324051
196,937690,616463
197,"440572,5",280953
198,374535,246129
199,603650,377506
200,691950,432621
201,"157532,5",98598
202,"635462,5",396297
203,"1084727,5",698298
204,415620,259841
205,"681382,5",441349
206,"651082,5",418991
207,1336650,879579
208,538880,347543
209,"1166752,5",754841
210,656335,411042
211,"306637,5",195242
212,"174512,5",112789
213,314585,202415
214,"569042,5",366222
215,629850,413711
216,406765,267616
217,"1095057,5",683397
218,497770,311028
219,705740,455649
220,843510,543962
221,415510,260116
222,676200,444536
223,853280,543105
224,931960,601088
225,"1018597,5",658762
226,931080,582198
227,288090,189867
228,150000,98493
229,"435237,5",280867
230,868200,542257
231,"484657,5",312379
232,"248727,5",161045
233,"630787,5",413530
234,745260,481653
235,517045,330146
236,"156027,5",101244
237,642390,421106
238,1648945,1065451
239,629100,414114
240,572965,371553
241,325620,204475
242,"590147,5",380943
243,652005,422429
244,"1050607,5",657000
245,"1140937,5",715156
246,"331987,5",210981
247,"832507,5",518563
248,350460,230625
249,615960,392835
250,345210,217125
251,1172395,736860
252,481810,300203
253,"573752,5",371552
254,508695,326498
255,974025,640130
256,406845,255351
257,157755,98741
258,"708557,5",458284
259,"508072,5",333664
260,1038610,669740
261,683975,441277
262,"646987,5",404177
263,"1144022,5",715329
264,"661507,5",435085
265,"188692,5",124100
266,"328552,5",206143
267,445820,286345
268,358640,224019
269,726010,454364
270,391870,246155
271,"511257,5",320495
272,"626167,5",404502
273,518805,331205
274,842745,526153
275,"652957,5",416130
276,"394517,5",254265
277,"352477,5",220806
278,"324297,5",213265
279,554925,347328
280,170520,106796
281,"328512,5",205337
282,1087625,702511
283,"643282,5",422167
284,"671087,5",427201
285,"296267,5",192182
286,1565665,1009605
287,713800,446334
288,"271992,5",175190
289,"937522,5",603993
290,662550,413736
291,"1520317,5",976651
292,"1718692,5",1074153
293,501530,313692
294,"1059447,5",664472
295,"696092,5",448609
296,285600,187745
297,500940,330218
298,"888647,5",572169
299,"580022,5",373748
300,359700,229419
301,1110415,706612
302,"281662,5",185138
303,459775,286998
304,150000,98432
305,565230,363680
306,520380,332497
307,"411127,5",262318
308,599500,386203
309,532980,338482
310,"1181917,5",739908
311,505485,322449
312,912365,590143
313,654355,430213
314,690835,446329
315,299130,190369
316,"205422,5",132374
317,895220,576363
318,996535,624743
319,730320,480173
320,"1572792,5",980585
321,"411962,5",265712
322,494395,308268
323,390555,248218
324,1099795,689037
325,"381127,5",245116
326,389460,251380
327,"329432,5",212510
328,730925,456833
329,"805617,5",504940
330,860985,564605
331,"553522,5",352026
332,564035,352373
333,"1483782,5",957367
334,641265,402526
335,1320455,826325
336,722005,475705
337,649480,417472
338,"157937,5",102008
339,535145,336155
340,"1497027,5",955436
341,"820382,5",515541
342,378305,236853
343,993865,641511
344,203040,133401
345,981685,626123
346,"527997,5",339382
347,268140,168593
348,695310,455804
349,1054440,659308
350,"392057,5",244059
351,336270,217278
352,"345722,5",216674
353,299935,187280
354,998280,635938
355,1340245,864311
356,565535,364279
357,1098700,724190
358,583195,376379
359,440145,284749
360,344830,223638
361,1267245,807903
362,330960,217832
363,"242632,5",154517
364,769950,492036
365,"316192,5",204758
366,"887807,5",556224
367,"693112,5",440526
368,"468992,5",293153
369,344565,215167
370,838890,542327
371,697295,451022
372,891990,569502
373,"1339477,5",835030
374,480970,302053
375,1138995,747218
376,"945692,5",593134
377,561440,360389
378,"1455592,5",909138
379,347100,227906
380,1197840,786541
381,1015200,646081
382,294690,194217
383,"356372,5",223743
384,207870,136242
385,410670,261462
386,"393387,5",246237
387,"1230872,5",793058
388,896040,572568
389,"613162,5",403091
390,150000,95849
391,"311212,5",204313
392,278060,173970
393,537925,337612
394,"586012,5",366402
395,314195,196407
396,552825,362896
397,"344817,5",214871
398,619060,400217
399,589845,379638
400,"428517,5",277862
401,1140060,735655
402,"359242,5",232315
403,"638247,5",412121
404,"440437,5",284432
405,"821302,5",539783
406,"599382,5",375052
407,"901587,5",561191
408,"1121752,5",703941
409,481210,301461
410,885750,553309
411,"514537,5",337451
412,"506047,5",332726
413,493495,308524
414,"617227,5",396697
415,434700,285500
416,233640,149114
417,"1251267,5",779400
418,"881872,5",565729
419,624075,402353
420,353705,220949
421,"461892,5",289117
422,"630517,5",394036
423,"1089927,5",680437
424,"561337,5",350855
425,"1434047,5",941739
426,493290,323416
427,"452787,5",292623
428,"162682,5",103756
429,"304107,5",190625
430,294975,194187
431,1515575,952074
432,"533812,5",345255
433,"527242,5",330080
434,"1366177,5",880194
435,968070,637355
436,459005,287271
437,"729992,5",456867
438,"531417,5",342893
439,306040,191983
440,"321432,5",200489
441,"916427,5",570301
442,"283432,5",180847
443,"485902,5",319255
444,680940,434053
445,355595,229032
446,"530887,5",349688
447,"168977,5",109262
448,"404537,5",254020
449,"862007,5",537631
450,1283435,843890
451,689325,438606
452,819210,537344
453,"808582,5",515537
454,510570,335227
455,1029105,677418
456,"499262,5",322739
457,"716262,5",448744
458,520885,336694
459,710310,444401
460,"1078402,5",676806
461,"1101017,5",686610
462,"370207,5",232569
463,305745,194393
464,150000,98316
465,900795,581190
466,450585,291407
467,"532587,5",333329
468,717120,447897
469,"993552,5",654844
470,"353397,5",228630
471,691375,445898
472,292830,186075
473,"746327,5",476111
474,"182757,5",117774
475,431640,284485
476,685470,429983
477,"1196977,5",772442
478,"508652,5",318889
479,"336302,5",216741
480,378875,236513
481,"578667,5",373709
482,"169027,5",108788
483,681000,433727
484,552570,356881
485,"697392,5",436695
486,294150,193960
487,"542387,5",338714
488,1138330,747386
489,524315,327056
490,"372187,5",239868
491,888555,555186
492,"188387,5",121654
493,421045,270933
494,1265370,787715
495,416145,260394
496,"1487642,5",964326
497,"531602,5",341652
498,470820,303525
499,563555,351978
500,369080,237357
501,"471987,5",296159
502,493365,308913
503,320565,210702
504,502490,323500
505,472905,311051
506,"1026072,5",661288
507,523175,336518
508,437300,272676
509,280815,184404
510,"388412,5",250363
511,319460,199838
512,634935,409703
513,"763697,5",492235
514,447225,287573
515,"828652,5",517076
516,"973017,5",610478
517,"483877,5",302056
518,635555,412408
519,751740,479337
520,914085,601321
521,303215,188961
522,993070,620145
523,368280,242731
524,"647502,5",404094
525,699245,437838
526,331500,211454
527,1206440,755375
528,1377480,864198
529,1587300,1013805
530,"427367,5",275553
531,313260,199995
532,501480,328703
533,"481882,5",306610
534,290695,181229
535,"467282,5",292255
536,"536202,5",346496
537,"157807,5",102029
538,495095,308509
539,158270,101789
540,"995847,5",638416
541,"540227,5",337617
542,206935,133869
543,1405675,894768
544,150000,95514
545,430650,274639
546,1021825,657313
547,1227555,808706
548,197025,129812
549,"638057,5",410043
550,"669042,5",419636
551,411265,266135
552,529015,329709
553,162770,104741
554,447630,289740
555,375840,247338
556,1223850,765497
557,"836087,5",539656
558,1098900,721642
559,"401957,5",252607
560,346005,227116
561,"292997,5",183581
562,"204927,5",134422
563,937440,601890
564,"1616942,5",1040196
565,"980827,5",613455
566,"447052,5",293074
567,"709997,5",467765
568,"580277,5",374283
569,300960,192048
570,562395,361814
571,"506292,5",326203
572,310650,198002
573,255015,163681
574,"593707,5",369902
575,613035,404132
576,567000,373492
577,1091160,696275
578,549990,350457
579,502140,325159
580,"744187,5",490316
581,721320,464288
582,"291862,5",185474
583,252325,158493
584,"553822,5",344565
585,525290,340924
586,1380615,893567
587,644960,403471
588,563550,370739
589,1516725,997312
590,"840022,5",526884
591,1071360,702724
592,635665,411309
593,"880197,5",568161
594,812065,524730
595,150000,95385
596,"252807,5",160753
597,461520,298429
598,"815092,5",524568
599,"1695122,5",1060429
600,"1837637,5",1178969
601,"1188107,5",744968
602,459600,288402
603,"1650512,5",1061134
604,"907582,5",576482
605,690825,433092
606,446130,287825
607,"301262,5",194260
608,"562462,5",358535
609,702660,461369
610,432540,284031
611,"550852,5",343843
612,457380,291268
613,"671677,5",419693
614,"1117707,5",697863
615,"338337,5",211861
616,"290482,5",187512
617,"615217,5",392307
618,"1426357,5",939622
619,"461392,5",290279
620,473770,297418
621,"892047,5",576154
622,1091210,701993
623,"927832,5",602136
624,425880,279463
625,"311557,5",198345
626,"191577,5",120053
627,612900,403568
628,"695832,5",451009
629,"1614772,5",1009743
630,1113000,698042
631,743675,464268
632,430110,282145
633,694755,435193
634,"488587,5",305592
635,771010,496841
636,343200,225027
637,824770,517356
638,"557972,5",366590
639,1104795,703687
640,"180082,5",112422
641,848100,544087
642,448800,295916
643,157300,101805
644,"518782,5",330310
645,"740932,5",463766
646,664850,429688
647,246945,157469
648,337590,222202
649,167265,106583
650,505810,327198
651,"895602,5",588223
652,555210,353173
653,355740,226851
654,"369387,5",230992
655,"772012,5",481708
656,1186560,755081
657,"571362,5",357531
658,"818812,5",512250
659,328625,205111
660,354670,229247
661,"691627,5",431700
662,"555997,5",347478
663,283500,186469
664,685145,442924
665,1626800,1044342
666,"1140367,5",738036
667,"1159927,5",728517
668,"1145982,5",735435
669,722475,473552
670,"551577,5",346990
671,408660,269113
672,"635337,5",397617
673,1022335,641633
674,263310,164958
675,954500,597168
676,382665,251120
677,511560,336240
678,504325,324175
679,411265,263880
680,"222612,5",143663
681,420530,270851
682,"905662,5",595886
683,839465,525904
684,"536332,5",353433
685,247705,159393
686,"536197,5",347541
687,"508187,5",327831
688,"628582,5",393342
689,"623437,5",398084
690,"885107,5",571666
691,405960,258039
692,1098625,685181
693,"579907,5",380241
694,"1541822,5",997482
695,833085,530276
696,404250,258288
697,"537652,5",353537
698,"474352,5",305160
699,1662000,1093195
700,"391197,5",253097
701,635355,397551
702,786515,491577
703,794355,512402
704,1405050,892440
705,"1692687,5",1091160
706,"789562,5",510253
707,1074660,673467
708,503420,315043
709,"983892,5",613011
710,"591657,5",382036
711,484375,313576
712,"293537,5",184201
713,478080,315172
714,797850,507936
715,"195142,5",128612
716,507240,325861
717,"309617,5",200394
718,"607982,5",390924
719,"1530197,5",958380
720,489185,305679
721,"691642,5",447118
722,636155,410010
723,"2058642,5",1286142
724,"321192,5",211773
725,173715,111830
726,663165,413892
727,1313395,820996
728,388300,242793
729,1495450,960461
730,"879307,5",548621
731,"1758697,5",1140019
732,374355,246312
733,463050,304951
734,467825,302587
735,521705,335082
736,550785,343222
737,839530,533364
738,178000,111788
739,582630,364339
740,538900,337318
741,"540672,5",339787
742,855815,561110
743,"536482,5",345380
744,"913737,5",589567
745,"808162,5",508594
746,"877502,5",567543
747,"523687,5",344929
748,230490,151626
749,573665,372312
750,"488497,5",313687
751,"1340002,5",863332
752,576705,361080
753,279205,174155
754,"709732,5",443554
755,885570,556439
756,334535,216682
757,"495597,5",320436
758,601020,394437
759,647790,405162
760,474525,312101
761,581655,363570
762,340440,219475
763,"858632,5",545399
764,"671897,5",433684
765,702240,446607
766,"392582,5",252973
767,740750,463418
768,694995,436083
769,"884012,5",552742
770,"295037,5",184935
771,"692867,5",445260
772,355745,222410
773,938615,586551
774,"496712,5",320427
775,"706022,5",440740
776,"1440287,5",902074
777,704850,440570
778,498330,316667
779,"444892,5",291828
780,"713447,5",459546
781,673665,428934
782,156815,98452
783,"568522,5",362770
784,1012030,664259
785,"904417,5",575032
786,344595,222650
787,"522042,5",337571
788,1070590,690592
789,359370,235683
790,"660297,5",413663
791,206955,136363
792,754505,474122
793,521640,333305
794,285215,183939
795,"1137187,5",732187
796,"653617,5",422979
797,649225,418515
798,"346617,5",216675
799,482220,316130
800,516865,333267
801,"527962,5",330491
802,1335090,851615
803,189375,122785
804,330990,217446
805,747325,475623
806,"336162,5",217597
807,"701192,5",453190
808,"466432,5",290233
809,385875,254425
810,"1172592,5",755948
811,372445,233915
812,505080,320785
813,"409707,5",257193
814,341145,223722
815,257085,164065
816,"451267,5",282459
817,516780,328472
818,483210,307182
819,"1158662,5",750701
820,467240,301136
821,665045,428042
822,489200,306945
823,950520,625642
824,701060,440455
825,515690,322415
826,"356887,5",229673
827,1530245,986113
828,"449302,5",294540
829,520380,342007
830,784790,489896
831,1324010,829396
832,"464457,5",292286
833,"1867972,5",1200029
834,"878212,5",568591
835,413770,267500
836,"558967,5",356704
837,299570,192435
838,337235,222121
839,686580,430838
840,"476042,5",298586
841,"239512,5",152508
842,"739052,5",474171
843,720300,474732
844,"867132,5",542875
845,1642745,1062533
846,"1139152,5",725595
847,"1439782,5",925409
848,323850,205845
849,477630,313878
850,"299637,5",187439
851,834660,523900
852,510995,319531
853,297680,186219
854,792780,522698
855,"1137562,5",709025
856,539280,336555
857,1196910,786818
858,435480,274078
859,"616587,5",392477
860,976690,609801
861,246885,157089
862,"484222,5",304335
863,521475,325332
864,885115,554233
865,480945,299975
866,150000,95327
867,"1479317,5",926214
868,"1114832,5",711588
869,618775,396786
870,"457357,5",295818
871,"832407,5",538735
872,945025,588722
873,"177167,5",111266
874,777270,485620
875,401130,256199
876,622120,399472
877,"734417,5",459368
878,"332342,5",208123
879,1587135,999251
880,"660857,5",434189
881,"689022,5",442848
882,"510627,5",318856
883,1365730,856826
884,834055,536827
885,588560,378857
886,"339507,5",218221
887,765975,477554
888,735270,474131
889,"1500557,5",955401
890,1008300,650959
891,712500,469155
892,501900,314027
893,312375,205560
894,840315,544779
895,363140,227378
896,655275,423374
897,1298585,812452
898,325240,209484
899,"878462,5",548345
900,1162165,750503
901,"1382442,5",863711
902,629080,406380
903,"950332,5",604028
904,540575,339520
905,"964997,5",602183
906,712415,456981
907,648900,418502
908,794735,495423
909,"740957,5",472634
910,453795,285544
911,"445012,5",278538
912,"1570757,5",981020
913,"520207,5",324550
914,"382477,5",252145
915,480375,305850
916,"629237,5",393335
917,"913042,5",588138
918,"506917,5",317360
919,483555,301032
920,"790237,5",493940
921,678645,445244
922,523090,328484
923,446900,287677
924,364125,228768
925,"923962,5",588432
926,1678685,1052539
927,779625,511553
928,156175,97996
929,"169132,5",106279
930,"559937,5",356240
931,1038870,661437
932,417055,261043
933,437465,281895
934,415800,273188
935,265265,170230
936,647590,405480
937,633600,404286
938,"371417,5",233200
939,443540,276731
940,"561417,5",351738
941,"1048567,5",653454
942,"715832,5",461521
943,597580,373494
944,488080,314498
945,"1020097,5",641143
946,"743042,5",466025
947,"1635212,5",1055403
948,349050,229212
949,357660,230871
950,"281422,5",185181
951,"872002,5",545614
952,774690,509090
953,"1448557,5",904446
954,469105,293025
955,577125,378988
956,1261405,805512
957,469405,301647
958,"1454837,5",928551
959,"674147,5",421458
960,287790,189045
961,"1319447,5",826669
962,304800,196817
963,"1158012,5",746792
964,"710972,5",444352
965,"1065487,5",679342
966,393675,247341
967,"469047,5",294210
968,908160,587839
969,"444282,5",285752
970,480740,309935
971,807570,504916
972,414180,264618
973,"335267,5",210265
974,1247710,780108
975,814175,536426
976,"630267,5",404608
977,299205,196526
978,1440235,918875
979,"297627,5",185836
980,287960,185761
981,1148990,719738
982,"688902,5",430387
983,766080,488333
984,1351595,872582
985,"707847,5",444751
986,157405,101609
987,623155,390531
988,"840277,5",541126
989,900315,574419
990,"508297,5",318754
991,469005,302820
992,"264372,5",164982
993,"1125442,5",718204
994,"173187,5",112063
995,"797327,5",523159
996,"775242,5",497328
997,633165,416501
998,599400,375001
999,"486337,5",305158
1000,"388727,5",250300
1001,"1373902,5",885053
1002,"551077,5",354894
1003,"605777,5",379567
1004,"175617,5",113249
1005,"204267,5",127660
1006,508725,325076
1007,"650497,5",419795
1008,161865,103170
1009,157635,98561
1010,303590,189263
1011,"893882,5",561016
1012,"314482,5",203602
1013,708585,451226
1014,340365,219447
1015,355110,232764
1016,"311932,5",205144
1017,1006740,633344
1018,459000,292296
1019,"375537,5",243103
1020,"1502637,5",957874
1021,"303187,5",199046
1022,818840,525785
1023,"447682,5",293491
1024,"329092,5",205924
1025,634610,397086
1026,643635,415460
1027,259945,168377
1028,452350,282716
1029,"667287,5",437989
1030,"520087,5",334778
1031,582655,376550
1032,633400,395485
1033,502640,314140
1034,168780,110767
1035,"694847,5",456949
1036,457500,292326
1037,"682942,5",442667
1038,"333252,5",209589
1039,"1597297,5",1019000
1040,"513922,5",328405
1041,"505447,5",325821
1042,512980,330783
1043,"1322907,5",870575
1044,836265,533085
1045,"692467,5",447548
1046,"706222,5",450107
1047,588535,369024
1048,1321590,856091
1049,842235,526480
1050,"379187,5",245104
1051,"576347,5",373650
1052,376510,235942
1053,457505,285417
1054,519390,331883
1055,447120,285539
1056,"913257,5",586656
1057,694575,446101
1058,610875,402369
1059,"692002,5",432255
1060,363825,232486
1061,"523867,5",343774
1062,516850,321981
1063,284610,181503
1064,380250,242351
1065,772205,499092
1066,469005,293809
1067,"1069677,5",668552
1068,"570602,5",358683
1069,"570847,5",358016
1070,765605,495906
1071,628825,391165
1072,"603387,5",397411
1073,457725,294159
1074,"399982,5",250456
1075,"275867,5",178506
1076,170050,106510
1077,486035,303514
1078,442535,275898
1079,291190,181362
1080,549630,362231
1081,676200,444588
1082,"1447812,5",934688
1083,455720,295044
1084,650660,417329
1085,"323212,5",213021
1086,156360,97935
1087,"884422,5",582139
1088,1455680,910077
1089,532930,345383
1090,858505,537539
1091,483120,307491
1092,280500,183993
1093,"353412,5",220640
1094,557745,359167
1095,1284845,806057
1096,"344817,5",216440
1097,1261695,831250
1098,313000,205187
1099,"504562,5",331055
1100,760030,484613
1101,1043475,651925
1102,165495,109000
1103,460980,294182
1104,"450297,5",290883
1105,185070,117786
1106,681625,427760
1107,"814217,5",519893
1108,"469562,5",302097
1109,"283057,5",176952
1110,"982197,5",613058
1111,637240,397458
1112,317065,204792
1113,1025345,658114
1114,185355,115897
1115,"176492,5",113912
1116,361095,229674
1117,"1152507,5",758518
1118,"674667,5",434913
1119,513580,337992
1120,1059285,663221
1121,432135,275600
1122,"290437,5",181549
1123,488830,305957
1124,762560,478407
1125,732185,461046
1126,629925,414462
1127,"833182,5",546082
1128,"930362,5",584282
1129,460365,288596
1130,"765252,5",489023
1131,586755,385984
1132,"208407,5",135240
1133,973475,609025
1134,810355,507740
1135,384470,240420
1136,746335,466416
1137,"738222,5",461979
1138,457875,300602
1139,"367312,5",230400
1140,150000,98778
1141,657825,432841
1142,327970,215437
1143,260465,162592
1144,388080,255756
1145,"1013207,5",633087
1146,"477642,5",307613
1147,"271932,5",170368
1148,670230,420631
1149,649380,412854
1150,335325,220837
1151,509415,329091
1152,676120,436507
1153,"489162,5",306600
1154,"447252,5",287539
1155,299730,190911
1156,581945,373742
1157,1017900,669247
1158,"543477,5",340218
1159,"802357,5",517948
1160,"532077,5",333873
1161,156350,98190
1162,"341097,5",213621
1163,872460,556311
1164,356850,234657
1165,"1055697,5",661276
1166,"315202,5",203635
1167,495230,308132
1168,314335,203148
1169,"1317262,5",849763
1170,931990,583607
1171,"680437,5",432262
1172,497610,327666
1173,"361987,5",230385
1174,"611862,5",383774
1175,"848512,5",558206
1176,"555267,5",345742
1177,"157167,5",101487
1178,1008900,664032
1179,"376412,5",236138
1180,343400,213975
1181,349680,230373
1182,"1005347,5",640062
1183,150000,98908
1184,"328407,5",212219
1185,"678737,5",424103
1186,"276802,5",175876
1187,"429687,5",275794
1188,322975,209594
1189,492970,317515
1190,692315,432769
1191,"719127,5",451847
1192,324015,202694
1193,"773357,5",499284
1194,"414032,5",258925
1195,"1469317,5",923173
1196,"398282,5",247884
1197,"722302,5",461591
1198,823440,531424
1199,"609577,5",381301
1200,231075,152364
1201,163170,101689
1202,"1056672,5",682617
1203,1489530,960874
1204,835200,532107
1205,430350,273369
1206,150000,98516
1207,449550,296207
1208,480620,311080
1209,"535842,5",335500
1210,"160377,5",103179
1211,869355,558055
1212,521100,332920
1213,984020,615527
1214,"597177,5",386039
1215,407835,268778
1216,"595227,5",372266
1217,"1229977,5",794579
1218,"768837,5",480118
1219,776865,503744
1220,1231830,796096
1221,"359672,5",231564
1222,"1216672,5",764769
1223,"805162,5",513220
1224,"492007,5",313300
1225,572285,370027
1226,"780017,5",487950
1227,797040,523777
1228,"543637,5",356990
1229,"341812,5",221147
1230,"678212,5",424249
1231,499140,327534
1232,281010,180316
1233,1018220,655453
1234,"1330012,5",834236
1235,"505597,5",327288
1236,"575332,5",369931
1237,516425,323434
1238,150000,95489
1239,346420,223416
1240,"544107,5",341097
1241,637185,412295
1242,334530,213023
1243,177715,114625
1244,"397172,5",247926
1245,494470,318459
1246,704460,449330
1247,1293595,836164
1248,756170,473127
1249,"363782,5",227744
1250,346005,220160
1251,755295,489644
1252,238800,157064
1253,669120,439692
1254,869130,552694
1255,"347722,5",224631
1256,251830,165211
1257,"721262,5",453496
1258,"373682,5",233727
1259,992970,650865
1260,"790767,5",494185
1261,"617527,5",400480
1262,"359382,5",231234
1263,1110080,712145
1264,"712832,5",445600
1265,"791932,5",502944
1266,1116720,712046
1267,216570,139537
1268,"474357,5",296176
1269,820800,522692
1270,868275,559443
1271,380150,238036
1272,230735,149002
1273,"429112,5",276546
1274,"977062,5",609476
1275,"446102,5",279240
1276,455560,286144
1277,843810,541736
1278,504145,326638
1279,558360,354851
1280,"277507,5",182832
1281,273055,171560
1282,"458232,5",295646
1283,596700,379370
1284,"1333237,5",859623
1285,"465022,5",306031
1286,"625167,5",402037
1287,876645,574845
1288,513415,330587
1289,"541162,5",349414
1290,585090,373577
1291,"1137337,5",714633
1292,731225,472191
1293,263010,165019
1294,"367087,5",242030
1295,"592112,5",382335
1296,700690,437263
1297,716850,449237
1298,"1017892,5",654805
1299,"622262,5",388101
1300,"484357,5",312908
1301,"1244462,5",780907
1302,725500,468067
1303,"1561152,5",1007393
1304,704380,438894
1305,305660,197183
1306,685860,440897
1307,"290062,5",190812
1308,326665,210375
1309,937055,595878
1310,528820,340015
1311,1001995,648119
1312,"588077,5",379197
1313,801680,504002
1314,"542812,5",357224
1315,490050,322478
1316,614100,391415
1317,359865,231823
1318,348115,218212
1319,"1475502,5",920805
1320,683100,434297
1321,704465,455174
1322,658675,424014
1323,"316577,5",197788
1324,1583975,1018696
1325,"389947,5",248227
1326,"759012,5",491362
1327,"1643337,5",1059841
1328,781810,504461
1329,524295,345593
1330,651185,406850
1331,455175,290514
1332,300835,188896
1333,"497367,5",327274
1334,409500,268987
1335,"558422,5",349267
1336,463245,298965
1337,"932407,5",601715
1338,157680,98633
1339,433470,285138
1340,"946122,5",593022
1341,"559782,5",350871
1342,460520,296524
1343,509305,316792
1344,496800,315630
1345,"319177,5",206342
1346,720225,458979
1347,"899807,5",572141
1348,"1300892,5",810616
1349,748230,482802
1350,1047815,668334
1351,"316402,5",198099
1352,"472272,5",295129
1353,"821992,5",532374
1354,303705,196021
1355,"368152,5",241909
1356,"310182,5",200509
1357,492565,307616
1358,735750,467958
1359,321195,210514
1360,"656322,5",410671
1361,"387022,5",247207
1362,"610697,5",381679
1363,419610,268048
1364,"420217,5",263064
1365,"511707,5",330270
1366,677595,433006
1367,464805,291565
1368,"699982,5",460383
1369,1080260,675760
1370,689700,438366
1371,468585,307937
1372,"1271657,5",819524
1373,150000,95705
1374,"158042,5",102040
1375,"1025357,5",652833
1376,"514887,5",323270
1377,351330,223551
1378,"435702,5",280723
1379,688585,431065
1380,"633107,5",408414
1381,"632697,5",406027
1382,"888692,5",565587
1383,"218097,5",136477
1384,878525,548521
1385,493745,317495
1386,587475,367657
1387,755160,488805
1388,279645,178227
1389,"506047,5",321817
1390,315365,196853
1391,"950177,5",611858
1392,"439632,5",282765
1393,1299870,837806
1394,571865,357174
1395,929040,592017
1396,394500,247045
1397,"728392,5",480087
1398,"355487,5",229491
1399,629930,395431
1400,"492992,5",310039
1401,1016330,637280
1402,1043715,651489
1403,314820,200546
1404,633780,396926
1405,"272527,5",173627
1406,881330,571150
1407,576585,362418
1408,"560712,5",361189
1409,"729102,5",468351
1410,297915,185759
1411,"1225587,5",767677
1412,602570,388181
1413,860600,556717
1414,1141475,714046
1415,"157427,5",98307
1416,"332332,5",206967
1417,351910,224866
1418,"1518852,5",956181
1419,"308152,5",202341
1420,"548567,5",343365
1421,814275,518139
1422,"327812,5",204969
1423,878030,559464
1424,963690,623408
1425,446205,293382
1426,"705622,5",443137
1427,"765877,5",480437
1428,"314167,5",196138
