id,tipo_propiedad,barrio,precio,ambientes,superficie_m2,antigüedad,expensas,garantía_requerida,precio_m2,score_crediticio_requerido,comisión_inmobiliaria,cochera,gastos_administrativos,tipo_incremento
45,Casa,Urca,103824,1,26,8,0,2 recibos + garantía propietaria,3993.23,860,64735,No,1913,ICL cada 4 meses
46,Departamento,San Vicente,262824,4,122,12,11691,1 recibo de sueldo,2154.3,684,163873,No,4062,ICL cada 6 meses
47,Departamento,Urca,201432,2,56,24,8557,1 recibo de sueldo,3597.0,636,125594,No,3270,ICL cada 6 meses
48,Departamento,Alberdi,113487,2,53,19,6640,1 recibo + garantía propietaria,2141.26,612,64990,Sí,2830,IPC cada 4 meses
49,Casa,Alberdi,184275,3,92,25,0,3 recibos de sueldo,2002.99,544,114897,Sí,4222,ICL cada 4 meses
50,PH,General Paz,467120,4,121,23,0,2 recibos de sueldo,3860.5,616,291253,Sí,11621,ICL cada 3 meses
51,Casa,Pueyrredón,76368,1,41,28,0,1 recibo + garantía propietaria,1862.63,572,43733,No,1864,IPC cada 3 meses
52,Departamento,Villa Belgrano,262080,4,116,5,14152,1 recibo + garantía propietaria,2259.31,572,150085,No,6441,IPC cada 3 meses
53,PH,Yofre,131670,3,70,46,0,2 recibos de sueldo,1881.0,708,75403,No,2605,IPC cada 6 meses
54,Departamento,Yofre,186813,3,86,13,8103,1 recibo + garantía propietaria,2172.24,747,116479,Sí,4067,ICL cada 6 meses
55,Departamento,Centro,157707,3,74,23,9302,2 recibos de sueldo,2131.18,627,90314,Sí,2385,IPC cada 4 meses
56,Departamento,Yofre,315219,5,154,21,13970,3 recibos de sueldo,2046.88,700,196541,Sí,5926,ICL cada 4 meses
57,Departamento,Nueva Córdoba,216196,2,43,17,9666,1 recibo de sueldo,5027.81,859,123809,No,4703,IPC cada 6 meses
58,Casa,General Paz,174420,2,50,47,0,2 recibos de sueldo,3488.4,565,99885,No,2885,IPC cada 6 meses
59,Departamento,Nueva Córdoba,576576,4,116,5,24599,2 recibos de sueldo,4970.48,486,330188,Sí,13810,IPC cada 6 meses
60,Departamento,Barrio Jardín,351936,3,105,12,19200,2 recibos de sueldo,3351.77,733,219435,Sí,5656,ICL cada 3 meses
61,Departamento,Cofico,276588,3,79,3,14221,1 recibo de sueldo,3501.11,576,172455,No,6466,ICL cada 6 meses
62,Departamento,Urca,355005,3,90,4,14613,2 recibos de sueldo,3944.5,597,203300,No,7509,IPC cada 6 meses
63,Departamento,Villa Cabrera,192753,3,96,23,7807,3 recibos de sueldo,2007.84,662,110383,Sí,4549,IPC cada 4 meses
64,Departamento,Barrio Jardín,484800,4,135,0,24556,1 recibo de sueldo,3591.11,773,302277,No,8358,ICL cada 3 meses
65,Departamento,Urca,424347,4,128,33,22503,1 recibo de sueldo,3315.21,663,243010,No,9070,IPC cada 3 meses
66,Departamento,Alberdi,205254,3,101,19,11588,1 recibo de sueldo,2032.22,438,117542,Sí,3536,IPC cada 3 meses
67,Departamento,Cerro de las Rosas,289896,2,69,12,14368,1 recibo de sueldo,4201.39,685,166014,Sí,5106,IPC cada 3 meses
68,Casa,Villa Cabrera,177057,3,78,9,0,2 recibos de sueldo,2269.96,673,110396,No,2857,ICL cada 6 meses
69,Departamento,Nueva Córdoba,464171,3,94,3,24847,1 recibo de sueldo,4937.99,563,265816,Sí,10928,IPC cada 4 meses
70,PH,Pueyrredón,181548,3,98,36,0,2 recibos + garantía propietaria,1852.53,479,113196,Sí,4179,ICL cada 6 meses
71,PH,Villa Belgrano,167265,3,80,23,0,1 recibo de sueldo,2090.81,611,95787,Sí,2980,IPC cada 4 meses
72,Casa,General Paz,230804,2,54,9,0,1 recibo de sueldo,4274.15,419,143908,No,3877,ICL cada 3 meses
73,Departamento,Nueva Córdoba,421601,3,82,1,23050,2 recibos de sueldo,5141.48,471,241438,Sí,9690,IPC cada 3 meses
74,Departamento,Villa Cabrera,211437,3,98,9,11049,1 recibo de sueldo,2157.52,514,131832,Sí,4152,ICL cada 3 meses
75,PH,Villa El Libertador,268716,4,119,4,0,1 recibo de sueldo,2258.12,524,153885,Sí,4912,IPC cada 3 meses
76,Departamento,Villa Belgrano,174384,3,87,27,8203,1 recibo + garantía propietaria,2004.41,737,99864,Sí,3804,IPC cada 3 meses
77,Departamento,Villa Belgrano,101421,2,47,23,4324,3 recibos de sueldo,2157.89,634,63236,Sí,1912,ICL cada 6 meses
78,Departamento,Nueva Córdoba,419839,3,89,14,22230,1 recibo de sueldo,4717.29,684,240429,Sí,9354,IPC cada 3 meses
79,Departamento,Barrio Jardín,354307,4,114,33,19619,2 recibos de sueldo,3107.96,670,220913,No,6056,ICL cada 6 meses
80,PH,Cerro de las Rosas,412776,3,92,4,0,1 recibo de sueldo,4486.7,496,236384,No,8536,IPC cada 3 meses
81,Departamento,Observatorio,175032,3,79,13,7665,2 recibos de sueldo,2215.59,593,109134,No,4157,ICL cada 3 meses
82,Departamento,San Vicente,186381,3,92,23,9299,2 recibos de sueldo,2025.88,627,116210,No,4308,ICL cada 6 meses
83,Departamento,Barrio Jardín,208233,2,56,1,9983,1 recibo + garantía propietaria,3718.45,636,119248,Sí,5088,IPC cada 4 meses
84,Departamento,Nueva Córdoba,531696,4,108,10,23455,1 recibo + garantía propietaria,4923.11,697,304486,No,8088,IPC cada 3 meses
85,Departamento,Urca,73017,1,17,17,3278,2 recibos + garantía propietaria,4295.12,742,41814,No,1773,IPC cada 6 meses
86,Departamento,Barrio Jardín,281808,3,78,10,12611,1 recibo de sueldo,3612.92,686,175709,Sí,4905,ICL cada 4 meses
87,Casa,Villa Belgrano,124991,2,58,14,0,3 recibos de sueldo,2155.02,826,71578,Sí,3055,IPC cada 4 meses
88,Departamento,San Vicente,64428,1,31,18,3116,1 recibo de sueldo,2078.32,693,36896,No,1131,IPC cada 4 meses
89,Casa,Observatorio,201780,3,93,10,0,1 recibo + garantía propietaria,2169.68,596,125811,Sí,3404,ICL cada 3 meses
90,Departamento,Alta Córdoba,210276,3,93,2,10053,2 recibos de sueldo,2261.03,778,131108,Sí,4474,ICL cada 4 meses
91,Departamento,Cerro de las Rosas,379422,3,82,3,19382,1 recibo de sueldo,4627.1,528,236573,No,8449,ICL cada 3 meses
92,Departamento,Villa El Libertador,209790,3,101,15,8782,2 recibos de sueldo,2077.13,703,120140,Sí,5165,IPC cada 4 meses
93,Departamento,Villa Belgrano,195804,3,86,4,10108,2 recibos de sueldo,2276.79,634,112131,Sí,3527,IPC cada 3 meses
94,Casa,Centro,180360,3,95,33,0,1 recibo + garantía propietaria,1898.53,564,112456,No,3521,ICL cada 6 meses
95,Casa,Villa Belgrano,173907,3,88,29,0,1 recibo de sueldo,1976.22,670,108432,No,3660,ICL cada 6 meses
96,Departamento,Alta Córdoba,204561,3,94,9,8271,3 recibos de sueldo,2176.18,621,127545,Sí,4754,ICL cada 6 meses
97,Departamento,Alberdi,173907,3,88,29,7851,1 recibo + garantía propietaria,1976.22,465,99591,Sí,3968,IPC cada 3 meses
98,Casa,Cofico,297202,3,94,15,0,1 recibo + garantía propietaria,3161.72,668,185308,Sí,7263,ICL cada 3 meses
99,Departamento,Nueva Córdoba,595056,4,120,4,29778,2 recibos + garantía propietaria,4958.8,546,340770,No,12151,IPC cada 4 meses
100,Departamento,Cerro de las Rosas,275844,2,68,19,14823,1 recibo de sueldo,4056.53,662,157967,No,6404,IPC cada 4 meses
101,PH,Nueva Córdoba,515090,4,112,21,0,2 recibos de sueldo,4599.02,637,321163,No,11865,ICL cada 6 meses
102,Departamento,San Vicente,60000,1,12,2,3325,2 recibos de sueldo,5000.0,693,34360,Sí,1024,IPC cada 4 meses
103,PH,Urca,201600,2,50,8,0,1 recibo de sueldo,4032.0,422,115450,No,3718,IPC cada 6 meses
104,Departamento,Alberdi,157800,2,71,0,6424,1 recibo + garantía propietaria,2222.54,550,98389,No,2682,ICL cada 6 meses
105,Casa,Yofre,195264,3,88,8,0,3 recibos de sueldo,2218.91,660,111821,Sí,3011,IPC cada 3 meses
106,Departamento,General Paz,253667,2,61,9,12873,3 recibos de sueldo,4158.48,900,158163,No,5962,ICL cada 3 meses
107,Departamento,Cofico,347791,4,109,19,16377,2 recibos de sueldo,3190.74,663,216850,Sí,8354,ICL cada 6 meses
108,Departamento,Villa Belgrano,270855,4,121,5,14598,2 recibos + garantía propietaria,2238.47,605,168880,Sí,5203,ICL cada 3 meses
109,Departamento,General Paz,359100,3,80,0,16402,2 recibos de sueldo,4488.75,737,205645,Sí,6697,IPC cada 3 meses
110,Departamento,Nueva Córdoba,402969,3,81,8,22112,2 recibos de sueldo,4974.93,591,251254,Sí,7941,ICL cada 3 meses
111,Departamento,Urca,402192,4,116,29,20931,2 recibos + garantía propietaria,3467.17,693,250770,Sí,8560,ICL cada 3 meses
112,Departamento,Cerro de las Rosas,535248,4,124,11,29863,1 recibo de sueldo,4316.52,655,333731,No,13313,ICL cada 3 meses
113,Casa,Yofre,205821,3,96,11,0,1 recibo + garantía propietaria,2143.97,757,128331,Sí,4881,ICL cada 3 meses
114,Departamento,Villa Cabrera,203643,3,96,13,12155,1 recibo + garantía propietaria,2121.28,716,126973,Sí,3386,ICL cada 6 meses
115,Departamento,San Vicente,155925,3,74,25,9070,2 recibos + garantía propietaria,2107.09,602,97220,Sí,3707,ICL cada 3 meses
116,Departamento,Observatorio,192510,3,90,14,9984,1 recibo de sueldo,2139.0,499,110244,No,3821,IPC cada 4 meses
117,Departamento,Villa Cabrera,133056,2,58,2,7700,2 recibos + garantía propietaria,2294.07,543,76197,No,3067,IPC cada 6 meses
118,Departamento,General Paz,333450,3,75,5,14358,1 recibo de sueldo,4446.0,679,207909,No,7820,ICL cada 4 meses
119,Departamento,Yofre,67620,1,30,4,2763,2 recibos de sueldo,2254.0,644,42161,No,1270,ICL cada 6 meses
120,Casa,Alberdi,122655,2,57,15,0,1 recibo de sueldo,2151.84,652,76476,No,1874,ICL cada 6 meses
121,Departamento,Villa Cabrera,216000,3,95,0,10943,1 recibo de sueldo,2273.68,675,123696,Sí,4028,IPC cada 4 meses
122,Departamento,Yofre,334662,5,151,7,19908,2 recibos + garantía propietaria,2216.3,568,191651,No,5120,IPC cada 4 meses
123,PH,Urca,535080,5,145,18,0,1 recibo + garantía propietaria,3690.21,639,333627,No,10777,ICL cada 6 meses
124,Casa,Cerro de las Rosas,426312,3,99,9,0,3 recibos de sueldo,4306.18,648,244136,Sí,10441,IPC cada 4 meses
125,Departamento,General Paz,281483,3,68,23,15254,1 recibo de sueldo,4139.46,506,161196,Sí,6714,IPC cada 4 meses
126,Casa,Cofico,193063,2,59,11,0,3 recibos de sueldo,3272.25,588,120376,No,3636,ICL cada 3 meses
127,Departamento,Villa Cabrera,137061,3,72,43,6318,2 recibos de sueldo,1903.62,689,85458,Sí,3093,ICL cada 4 meses
128,Casa,Observatorio,60000,1,21,41,0,2 recibos de sueldo,2857.14,719,37410,No,1339,ICL cada 4 meses
129,Departamento,Nueva Córdoba,279741,2,65,27,14931,3 recibos de sueldo,4303.71,569,174421,Sí,5812,ICL cada 3 meses
130,Departamento,Alberdi,147798,3,77,39,6029,1 recibo + garantía propietaria,1919.45,699,92153,No,3258,ICL cada 6 meses
131,PH,Cofico,164970,2,46,5,0,2 recibos de sueldo,3586.3,588,102860,No,3965,ICL cada 3 meses
132,Departamento,General Paz,186532,1,54,25,9216,2 recibos de sueldo,3454.3,562,116304,No,3323,ICL cada 4 meses
133,Departamento,Cerro de las Rosas,481536,4,106,8,21546,3 recibos de sueldo,4542.79,841,275761,Sí,8069,IPC cada 4 meses
134,Departamento,Barrio Jardín,237388,2,77,24,9729,1 recibo de sueldo,3082.96,608,148013,No,4325,ICL cada 3 meses
135,Departamento,Yofre,62130,1,28,10,2795,1 recibo + garantía propietaria,2218.93,502,35580,No,1312,IPC cada 4 meses
136,Departamento,Barrio Jardín,92640,1,25,7,5044,1 recibo + garantía propietaria,3705.6,606,53052,Sí,1837,IPC cada 4 meses
137,Departamento,Alberdi,119040,2,66,40,6073,3 recibos de sueldo,1803.64,623,74222,No,2586,ICL cada 6 meses
138,Departamento,Villa El Libertador,157365,2,73,5,6368,1 recibo de sueldo,2155.68,741,98118,No,3062,ICL cada 3 meses
139,Departamento,Barrio Jardín,358680,4,109,25,17286,3 recibos de sueldo,3290.64,614,223640,Sí,7716,ICL cada 3 meses
140,Departamento,Pueyrredón,115455,2,55,21,6355,1 recibo de sueldo,2099.18,687,71987,Sí,1834,ICL cada 6 meses
141,Departamento,Pueyrredón,278784,4,128,8,16473,1 recibo + garantía propietaria,2178.0,756,173824,No,5392,ICL cada 4 meses
142,Departamento,Urca,234638,2,63,13,13488,2 recibos de sueldo,3724.41,591,146298,Sí,5035,ICL cada 3 meses
143,PH,Alberdi,223398,3,101,3,0,2 recibos de sueldo,2211.86,679,127933,Sí,4002,IPC cada 3 meses
144,Departamento,Urca,309960,3,95,36,12407,2 recibos + garantía propietaria,3262.74,643,193262,Sí,5651,ICL cada 6 meses
145,Departamento,Urca,333065,3,108,41,14779,2 recibos de sueldo,3083.94,672,190736,Sí,5063,IPC cada 4 meses
146,Casa,Nueva Córdoba,407721,3,92,24,0,1 recibo + garantía propietaria,4431.75,660,233489,Sí,9323,IPC cada 4 meses
147,Casa,San Vicente,237660,4,122,30,0,3 recibos de sueldo,1948.03,664,148183,Sí,4719,ICL cada 6 meses
148,Departamento,Alberdi,141966,2,63,2,6268,2 recibos de sueldo,2253.43,621,81299,Sí,2366,IPC cada 6 meses
149,PH,Nueva Córdoba,428868,3,89,10,0,1 recibo de sueldo,4818.74,652,245600,Sí,9136,IPC cada 4 meses
150,Departamento,Urca,485331,4,128,9,23422,1 recibo + garantía propietaria,3791.65,622,277934,Sí,7860,IPC cada 3 meses
151,PH,Yofre,66429,1,32,17,0,1 recibo + garantía propietaria,2075.91,883,38041,No,1305,IPC cada 4 meses
152,Departamento,General Paz,155290,1,38,4,8217,1 recibo de sueldo,4086.58,710,96824,No,2539,ICL cada 6 meses
153,Departamento,Cerro de las Rosas,282186,2,69,17,12151,1 recibo de sueldo,4089.65,650,161599,No,6142,IPC cada 4 meses
154,Departamento,Alta Córdoba,192780,3,94,20,11241,1 recibo + garantía propietaria,2050.85,616,110399,Sí,3256,IPC cada 6 meses
155,Casa,Pueyrredón,144795,2,65,3,0,2 recibos + garantía propietaria,2227.62,747,82919,Sí,3553,IPC cada 4 meses
156,Departamento,General Paz,224580,2,50,3,12473,1 recibo + garantía propietaria,4491.6,568,128610,No,4720,IPC cada 3 meses
157,Departamento,Villa El Libertador,196200,3,84,0,9493,3 recibos de sueldo,2335.71,521,122332,Sí,2986,ICL cada 3 meses
158,Departamento,Villa Belgrano,193725,3,98,25,10011,2 recibos + garantía propietaria,1976.79,514,120789,Sí,3719,ICL cada 3 meses
159,PH,General Paz,296126,2,74,9,0,2 recibos de sueldo,4001.7,779,169582,No,4917,IPC cada 4 meses
160,Casa,Villa Belgrano,100686,2,41,6,0,1 recibo de sueldo,2455.76,774,62778,No,2120,ICL cada 6 meses
161,Departamento,Barrio Jardín,273110,3,84,26,13883,2 recibos de sueldo,3251.31,665,170286,No,6186,ICL cada 3 meses
162,Departamento,San Vicente,271860,4,120,3,14040,2 recibos + garantía propietaria,2265.5,593,169507,Sí,4916,ICL cada 4 meses
163,Departamento,San Vicente,179352,3,81,12,10259,2 recibos + garantía propietaria,2214.22,595,111827,Sí,3902,ICL cada 4 meses
164,Departamento,Alberdi,230208,4,112,24,10129,1 recibo de sueldo,2055.43,854,131833,Sí,5459,IPC cada 3 meses
165,PH,Nueva Córdoba,295911,2,65,17,0,3 recibos de sueldo,4552.48,640,169459,Sí,7118,IPC cada 4 meses
166,Departamento,Observatorio,153456,2,76,16,8236,1 recibo de sueldo,2019.16,684,95681,No,2490,ICL cada 3 meses
167,Departamento,Barrio Jardín,268128,3,70,4,11299,1 recibo + garantía propietaria,3830.4,606,167180,No,4974,ICL cada 3 meses
168,Departamento,General Paz,507208,4,118,4,24946,2 recibos de sueldo,4298.37,659,290463,No,8993,IPC cada 3 meses
169,Departamento,Nueva Córdoba,434808,3,95,17,22921,2 recibos + garantía propietaria,4576.93,687,271106,No,9003,ICL cada 4 meses
170,Departamento,Centro,290400,4,128,0,11688,1 recibo de sueldo,2268.75,830,166303,Sí,6726,IPC cada 4 meses
171,Departamento,Villa El Libertador,294336,5,153,32,12409,1 recibo + garantía propietaria,1923.76,641,183521,Sí,6310,ICL cada 4 meses
172,Departamento,Nueva Córdoba,213041,1,48,9,8910,2 recibos de sueldo,4438.35,701,122002,No,5290,IPC cada 3 meses
173,Departamento,Alberdi,65205,1,30,11,3096,2 recibos de sueldo,2173.5,614,37340,No,1004,IPC cada 4 meses
174,Departamento,General Paz,295926,2,73,7,15518,3 recibos de sueldo,4053.78,668,169468,No,5028,IPC cada 3 meses
175,Departamento,San Vicente,106848,2,54,32,6402,2 recibos de sueldo,1978.67,684,61188,Sí,2512,IPC cada 3 meses
176,Departamento,Cerro de las Rosas,251640,2,61,20,11344,2 recibos de sueldo,4125.25,629,156899,No,4763,ICL cada 3 meses
177,Casa,Villa El Libertador,237864,4,108,13,0,3 recibos de sueldo,2202.44,673,148310,Sí,5420,ICL cada 4 meses
178,Departamento,Cofico,116937,1,39,17,4995,3 recibos de sueldo,2998.38,579,66966,Sí,2890,IPC cada 3 meses
179,Departamento,Yofre,129390,2,59,10,6248,1 recibo de sueldo,2193.05,700,80675,No,2705,ICL cada 6 meses
180,Casa,Cerro de las Rosas,271524,2,64,13,0,3 recibos de sueldo,4242.56,655,155493,No,5881,IPC cada 3 meses
181,Departamento,Barrio Jardín,411312,4,117,10,17653,1 recibo + garantía propietaria,3515.49,594,256456,Sí,7751,ICL cada 6 meses
182,Departamento,Cerro de las Rosas,411642,3,96,11,16667,1 recibo de sueldo,4287.94,638,235735,Sí,9876,IPC cada 4 meses
183,Departamento,Yofre,271872,4,124,8,13941,3 recibos de sueldo,2192.52,780,155693,Sí,5901,IPC cada 4 meses
184,Departamento,Observatorio,325365,5,140,1,18738,1 recibo + garantía propietaria,2324.04,639,202868,No,6846,ICL cada 4 meses
185,Departamento,Urca,333900,3,81,0,19104,1 recibo + garantía propietaria,4122.22,692,208189,No,5101,ICL cada 4 meses
186,Departamento,San Vicente,135240,2,60,4,5682,1 recibo de sueldo,2254.0,692,84323,No,2698,ICL cada 6 meses
187,Casa,Villa Cabrera,146082,2,67,6,0,3 recibos de sueldo,2180.33,707,91083,No,3645,ICL cada 4 meses
188,PH,Centro,143787,2,79,33,0,1 recibo + garantía propietaria,1820.09,539,89652,No,2803,ICL cada 6 meses
189,Departamento,Alberdi,192222,3,93,19,8255,2 recibos de sueldo,2066.9,546,119852,Sí,4723,ICL cada 6 meses
190,Departamento,General Paz,132240,1,40,40,6588,3 recibos de sueldo,3306.0,575,82452,No,3281,ICL cada 3 meses
191,Departamento,Nueva Córdoba,84460,1,14,9,3999,2 recibos de sueldo,6032.86,710,52661,Sí,1813,ICL cada 3 meses
192,Departamento,Yofre,229635,3,110,11,12414,2 recibos de sueldo,2087.59,676,131505,Sí,4134,IPC cada 3 meses
193,Departamento,Yofre,192753,3,96,23,9618,3 recibos de sueldo,2007.84,671,110383,Sí,3268,IPC cada 4 meses
194,PH,San Vicente,189405,3,90,17,0,1 recibo de sueldo,2104.5,637,118095,Sí,3875,ICL cada 3 meses
195,Departamento,Barrio Jardín,198912,2,58,15,8036,2 recibos de sueldo,3429.52,517,113911,No,3192,IPC cada 6 meses
196,PH,Barrio Jardín,375076,4,109,17,0,2 recibos de sueldo,3441.06,589,233863,No,7524,ICL cada 4 meses
197,Casa,Villa Belgrano,176229,3,82,17,0,1 recibo de sueldo,2149.13,671,100921,No,3803,IPC cada 4 meses
198,Casa,Yofre,149814,2,79,26,0,2 recibos de sueldo,1896.38,632,93410,No,2905,ICL cada 6 meses
199,Departamento,Observatorio,230910,4,110,21,10550,1 recibo + garantía propietaria,2099.18,667,132235,Sí,3811,IPC cada 3 meses
200,Departamento,Villa Cabrera,261600,5,140,40,15180,1 recibo de sueldo,1868.57,494,149810,Sí,6031,IPC cada 4 meses
201,Departamento,San Vicente,60000,1,23,38,3013,3 recibos de sueldo,2608.7,648,34360,No,1225,IPC cada 4 meses
202,Departamento,Nueva Córdoba,240715,2,48,12,13470,2 recibos de sueldo,5014.9,441,137850,No,4262,IPC cada 3 meses
203,Departamento,Cerro de las Rosas,414000,3,90,0,19891,1 recibo de sueldo,4600.0,519,258132,No,6275,ICL cada 3 meses
204,Departamento,Yofre,157800,2,71,0,8448,2 recibos + garantía propietaria,2222.54,552,90367,No,3226,IPC cada 6 meses
205,Departamento,Centro,261222,4,114,3,11331,3 recibos de sueldo,2291.42,465,162874,Sí,5922,ICL cada 6 meses
206,Departamento,Nueva Córdoba,246919,2,46,1,13514,1 recibo de sueldo,5367.8,569,153956,No,4602,ICL cada 3 meses
207,Casa,Cerro de las Rosas,534660,4,123,10,0,3 recibos de sueldo,4346.83,677,333365,No,11554,ICL cada 6 meses
208,Departamento,San Vicente,204174,3,89,1,11378,1 recibo de sueldo,2294.09,766,127304,Sí,4687,ICL cada 4 meses
209,Departamento,Nueva Córdoba,447975,3,100,19,18726,2 recibos + garantía propietaria,4479.75,596,279316,No,8824,ICL cada 6 meses
210,Departamento,Cerro de las Rosas,251550,2,55,5,10984,1 recibo de sueldo,4573.64,584,144055,No,4453,IPC cada 6 meses
211,PH,Alberdi,122655,2,57,15,0,1 recibo + garantía propietaria,2151.84,637,70240,No,2347,IPC cada 6 meses
212,Departamento,Villa El Libertador,66528,1,29,2,3277,1 recibo de sueldo,2294.07,623,41480,No,1504,ICL cada 3 meses
213,Departamento,San Vicente,119529,2,61,29,6305,3 recibos de sueldo,1959.49,548,74527,Sí,2054,ICL cada 3 meses
